timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1447164961003312,9,51.760593,-1.261215,62.305449,1.816301,1.501588,4.169048,5735841.584359,619999.964421,-62.305449,30U
1447164961202855,9,51.760593,-1.261215,62.288833,1.816319,1.501584,4.168975,5735841.574215,619999.966947,-62.288833,30U
1447164961402844,9,51.760593,-1.261215,62.278952,1.816487,1.501692,4.169446,5735841.567301,619999.971193,-62.278952,30U
1447164961603203,9,51.760593,-1.261215,62.288397,1.816432,1.501681,4.169482,5735841.548804,619999.955708,-62.288397,30U
1447164961803228,9,51.760593,-1.261215,62.286891,1.816433,1.501683,4.169456,5735841.537662,619999.957148,-62.286891,30U
1447164962002828,9,51.760593,-1.261215,62.303641,1.816493,1.501728,4.169508,5735841.532428,619999.949162,-62.303641,30U
1447164962202837,9,51.760592,-1.261215,62.312809,1.816511,1.501723,4.169434,5735841.516090,619999.950025,-62.312809,30U
1447164962402772,9,51.760592,-1.261215,62.325184,1.816494,1.501733,4.169446,5735841.512984,619999.936176,-62.325184,30U
1447164962602781,9,51.760593,-1.261215,62.339574,1.816547,1.501747,4.169485,5735841.528147,619999.943562,-62.339574,30U
1447164962803111,9,51.760592,-1.261215,62.364156,1.816564,1.501754,4.169259,5735841.511532,619999.952369,-62.364156,30U
1447164963003184,9,51.760592,-1.261215,62.382587,1.816514,1.501678,4.169219,5735841.496789,619999.935655,-62.382587,30U
1447164963203230,9,51.760592,-1.261215,62.365438,1.816532,1.501673,4.169145,5735841.490183,619999.938703,-62.365438,30U
1447164963403114,9,51.760592,-1.261215,62.377716,1.816609,1.501728,4.168652,5735841.484794,619999.946855,-62.377716,30U
1447164963603185,9,51.760592,-1.261215,62.378138,1.816570,1.501701,4.168681,5735841.492682,619999.947857,-62.378138,30U
1447164963803115,9,51.760592,-1.261215,62.373580,1.816597,1.501654,4.168280,5735841.496966,619999.952581,-62.373580,30U
1447164964003154,9,51.760592,-1.261215,62.384649,1.816648,1.501684,4.168200,5735841.489538,619999.954454,-62.384649,30U
1447164964203084,9,51.760592,-1.261215,62.389489,1.816667,1.501680,4.168127,5735841.480682,619999.956739,-62.389489,30U
1447164964403128,9,51.760592,-1.261215,62.391418,1.816684,1.501661,4.168409,5735841.481423,619999.957318,-62.391418,30U
1447164964603229,9,51.760592,-1.261215,62.380384,1.816646,1.501647,4.168624,5735841.491064,619999.959738,-62.380384,30U
1447164964802557,9,51.760592,-1.261215,62.382842,1.816661,1.501607,4.168271,5735841.477883,619999.963112,-62.382842,30U
1447164965003144,9,51.760592,-1.261215,62.396408,1.816613,1.501593,4.167954,5735841.482996,619999.972798,-62.396408,30U
1447164965203074,9,51.760592,-1.261215,62.397916,1.816627,1.501575,4.168059,5735841.488366,619999.974293,-62.397916,30U
1447164965403245,9,51.760592,-1.261215,62.423895,1.816644,1.501612,4.167873,5735841.491898,619999.978605,-62.423895,30U
1447164965603133,9,51.760592,-1.261215,62.438518,1.816643,1.501592,4.167828,5735841.485063,619999.972247,-62.438518,30U
1447164965803315,9,51.760592,-1.261215,62.454371,1.816633,1.501563,4.167963,5735841.474574,619999.972075,-62.454371,30U
