timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1446213137978754,7,51.760898,-1.261536,68.236517,2.944302,2.587705,7.849694,5735874.917379,619977.012459,-68.236517,30U
1446213138178695,8,51.760894,-1.261544,69.822602,2.873704,2.361108,7.279219,5735874.540276,619976.444583,-69.822602,30U
1446213138378705,8,51.760891,-1.261540,69.367856,3.061959,2.685330,10.003671,5735874.216270,619976.724047,-69.367856,30U
1446213138578851,8,51.760891,-1.261553,71.476397,2.886019,2.401195,7.381084,5735874.176981,619975.860860,-71.476397,30U
1446213138778664,8,51.760888,-1.261560,72.870245,2.872231,2.356435,7.268259,5735873.847307,619975.350838,-72.870245,30U
1446213138978716,7,51.760897,-1.261536,68.182601,2.944323,2.587430,7.851136,5735874.900311,619977.008251,-68.182601,30U
1446213139178831,8,51.760894,-1.261545,69.944921,2.878583,2.377072,7.320762,5735874.492058,619976.364984,-69.944921,30U
1446213139378617,7,51.760891,-1.261541,69.407296,3.061891,2.684918,10.002410,5735874.179865,619976.701515,-69.407296,30U
1446213139578667,7,51.760891,-1.261540,69.367341,3.062160,2.684939,10.002323,5735874.196414,619976.719087,-69.367341,30U
1446213139778590,7,51.760891,-1.261540,69.367929,3.061847,2.684741,10.001935,5735874.178207,619976.716471,-69.367929,30U
1446213139978592,7,51.760891,-1.261541,69.352048,3.061865,2.684655,10.001504,5735874.171328,619976.713298,-69.352048,30U
1446213140178616,7,51.760891,-1.261541,69.364319,3.061884,2.684585,10.001272,5735874.151773,619976.703256,-69.364319,30U
1446213140378560,7,51.760891,-1.261541,69.386608,3.061799,2.684501,10.001160,5735874.141616,619976.706463,-69.386608,30U
1446213140578704,7,51.760891,-1.261541,69.359564,3.061800,2.684429,10.000947,5735874.136449,619976.702641,-69.359564,30U
1446213140778667,7,51.760891,-1.261541,69.370005,3.061784,2.684322,10.000670,5735874.137020,619976.707722,-69.370005,30U
1446213140978718,7,51.760891,-1.261541,69.339710,3.061898,2.684303,10.000511,5735874.132806,619976.713251,-69.339710,30U
1446213141178657,7,51.760891,-1.261541,69.353970,3.061917,2.684233,10.000279,5735874.132407,619976.703657,-69.353970,30U
1446213141378552,7,51.760891,-1.261541,69.379612,3.061781,2.684127,10.000035,5735874.142939,619976.715476,-69.379612,30U
1446213141578685,7,51.760891,-1.261541,69.375879,3.061796,2.684063,9.999889,5735874.148301,619976.713202,-69.375879,30U
1446213141778643,7,51.760891,-1.261540,69.402248,3.061756,2.683963,9.999558,5735874.154808,619976.720530,-69.402248,30U
1446213141978628,7,51.760891,-1.261540,69.384351,3.061781,2.683896,9.999351,5735874.163458,619976.718677,-69.384351,30U
1446213142178589,7,51.760891,-1.261540,69.385418,3.061799,2.683826,9.999118,5735874.151747,619976.719764,-69.385418,30U
1446213142378731,7,51.760891,-1.261541,69.404141,3.061717,2.683709,9.998788,5735874.153139,619976.713231,-69.404141,30U
1446213142578628,7,51.760891,-1.261541,69.392040,3.061744,2.683637,9.998498,5735874.156407,619976.708055,-69.392040,30U
1446213142778630,8,51.760891,-1.261541,69.386712,3.061807,2.683591,9.998253,5735874.144291,619976.706676,-69.386712,30U
1446213142978715,8,51.760891,-1.261541,69.412966,3.061787,2.683483,9.997957,5735874.139732,619976.705738,-69.412966,30U
1446213143178856,8,51.760891,-1.261541,69.442818,3.061805,2.683414,9.997725,5735874.138907,619976.710374,-69.442818,30U
1446213143378909,8,51.760897,-1.261536,68.410514,2.935181,2.557429,7.782681,5735874.833260,619976.992811,-68.410514,30U
1446213143578886,8,51.760896,-1.261537,68.569815,2.935268,2.557427,7.783222,5735874.796181,619976.952133,-68.569815,30U
1446213143778901,8,51.760896,-1.261537,68.586466,2.935303,2.557397,7.782896,5735874.798218,619976.959536,-68.586466,30U
1446213143978945,8,51.760896,-1.261539,69.084510,2.882224,2.388186,7.356128,5735874.685158,619976.785400,-69.084510,30U
1446213144178838,8,51.760893,-1.261545,70.243265,2.882239,2.388150,7.356372,5735874.430682,619976.384570,-70.243265,30U
1446213144378844,8,51.760895,-1.261540,69.205054,2.878190,2.374442,7.321859,5735874.669343,619976.748620,-69.205054,30U
