timestamp,num_satellites,latitude,longitude,altitude,latitude_sigma,longitude_sigma,altitude_sigma,northing,easting,down,utm_zone
1439388262802747,9,51.760608,-1.261255,68.932093,2.098110,1.597030,5.599122,5735843.149507,619997.177193,-68.932093,30U
1439388263002747,9,51.760608,-1.261255,68.927470,2.097983,1.597024,5.599248,5735843.140091,619997.176174,-68.927470,30U
1439388263202747,9,51.760608,-1.261255,68.921052,2.098029,1.597101,5.599438,5735843.139585,619997.185102,-68.921052,30U
1439388263402746,9,51.760608,-1.261255,68.921958,2.097997,1.597131,5.599644,5735843.139553,619997.183469,-68.921958,30U
1439388263602746,9,51.760608,-1.261255,68.927044,2.097923,1.597114,5.599744,5735843.148891,619997.187288,-68.927044,30U
1439388263802746,9,51.760608,-1.261255,68.925500,2.097784,1.597117,5.599855,5735843.148876,619997.189714,-68.925500,30U
1439388264002746,9,51.760608,-1.261255,68.928131,2.097747,1.597145,5.600028,5735843.145872,619997.187887,-68.928131,30U
1439388264202746,9,51.760608,-1.261255,68.927927,2.097800,1.597208,5.600296,5735843.145624,619997.179907,-68.927927,30U
1439388264402746,9,51.760608,-1.261255,68.930365,2.097708,1.597213,5.600425,5735843.154859,619997.186973,-68.930365,30U
1439388264602746,9,51.760608,-1.261255,68.932191,2.097748,1.597256,5.600541,5735843.155116,619997.186853,-68.932191,30U
1439388264802746,9,51.760608,-1.261255,68.911212,2.097769,1.597331,5.600908,5735843.161229,619997.199429,-68.911212,30U
1439388265002746,9,51.760608,-1.261254,68.917596,2.097733,1.597359,5.601080,5735843.158121,619997.203475,-68.917596,30U
1439388265202746,9,51.760608,-1.261255,68.929294,2.097665,1.597378,5.601250,5735843.151460,619997.202163,-68.929294,30U
1439388265402746,9,51.760608,-1.261254,68.936908,2.097643,1.597401,5.601420,5735843.159213,619997.204209,-68.936908,30U
1439388265602746,9,51.760608,-1.261255,68.925629,2.097530,1.597367,5.601388,5735843.158293,619997.197550,-68.925629,30U
1439388265802746,9,51.760608,-1.261254,68.926063,2.097533,1.597443,5.601735,5735843.154961,619997.204422,-68.926063,30U
1439388266002746,9,51.760608,-1.261254,68.950747,2.097477,1.597482,5.601936,5735843.157574,619997.214809,-68.950747,30U
1439388266202746,9,51.760608,-1.261254,68.957641,2.097447,1.597461,5.602035,5735843.165026,619997.221294,-68.957641,30U
1439388266402746,9,51.760608,-1.261254,68.987861,2.097406,1.597489,5.602118,5735843.152314,619997.232260,-68.987861,30U
1439388266602746,9,51.760608,-1.261254,68.980651,2.097433,1.597548,5.602298,5735843.154243,619997.233166,-68.980651,30U
1439388266802746,9,51.760608,-1.261254,68.966987,2.097387,1.597581,5.602524,5735843.148236,619997.233806,-68.966987,30U
1439388267002746,9,51.760608,-1.261254,68.990857,2.097290,1.597595,5.602727,5735843.150782,619997.238741,-68.990857,30U
1439388267202746,8,51.760608,-1.261254,68.972603,2.097175,1.597583,5.602732,5735843.152387,619997.241791,-68.972603,30U
1439388267402746,9,51.760608,-1.261254,68.974503,2.097254,1.597687,5.603065,5735843.157243,619997.239915,-68.974503,30U
1439388267602745,9,51.760608,-1.261254,68.958293,2.097152,1.597666,5.603127,5735843.168698,619997.237982,-68.958293,30U
1439388267802745,9,51.760608,-1.261254,68.951370,2.097080,1.597679,5.603239,5735843.158527,619997.237753,-68.951370,30U
1439388268002745,9,51.760608,-1.261254,68.938856,2.097044,1.597708,5.603411,5735843.164052,619997.245317,-68.938856,30U
1439388268202745,9,51.760608,-1.261254,68.926693,2.097048,1.597789,5.603742,5735843.162468,619997.246496,-68.926693,30U
1439388268402745,9,51.760608,-1.261254,68.927086,2.096987,1.597750,5.603775,5735843.178492,619997.250846,-68.927086,30U
1439388268602745,9,51.760608,-1.261254,68.905385,2.096954,1.597810,5.603992,5735843.177056,619997.252399,-68.905385,30U
1439388268802745,9,51.760608,-1.261254,68.902741,2.096834,1.597762,5.604004,5735843.176855,619997.255465,-68.902741,30U
1439388269002745,9,51.760608,-1.261254,68.908289,2.096798,1.597790,5.604176,5735843.172460,619997.260141,-68.908289,30U
1439388269202745,9,51.760608,-1.261254,68.912995,2.096818,1.597892,5.604450,5735843.163170,619997.261132,-68.912995,30U
1439388269402745,9,51.760608,-1.261254,68.927428,2.096773,1.597855,5.604538,5735843.160392,619997.261032,-68.927428,30U
1439388269602745,9,51.760608,-1.261254,68.910944,2.096767,1.597929,5.604836,5735843.165104,619997.260480,-68.910944,30U
1439388269802745,9,51.760608,-1.261254,68.917956,2.096699,1.597903,5.604834,5735843.173372,619997.262284,-68.917956,30U
1439388270002745,9,51.760608,-1.261254,68.925147,2.096663,1.597931,5.605005,5735843.178628,619997.260421,-68.925147,30U
1439388270202745,9,51.760608,-1.261254,68.911951,2.096659,1.597998,5.605299,5735843.188055,619997.260105,-68.911951,30U
1439388270402745,9,51.760608,-1.261254,68.915296,2.096574,1.598024,5.605445,5735843.195643,619997.263505,-68.915296,30U
1439388270602745,9,51.760608,-1.261254,68.939443,2.096605,1.598042,5.605630,5735843.189395,619997.262870,-68.939443,30U
1439388270802745,9,51.760608,-1.261254,68.932829,2.096551,1.598069,5.605765,5735843.180536,619997.266686,-68.932829,30U
1439388271002745,9,51.760608,-1.261254,68.920474,2.096550,1.598149,5.606058,5735843.188077,619997.269452,-68.920474,30U
1439388271202745,9,51.760608,-1.261254,68.920734,2.096526,1.598190,5.606203,5735843.191666,619997.266464,-68.920734,30U
1439388271402745,9,51.760608,-1.261253,68.919522,2.096457,1.598202,5.606335,5735843.193152,619997.273230,-68.919522,30U
1439388271602744,9,51.760608,-1.261254,68.925818,2.096395,1.598174,5.606371,5735843.186987,619997.268314,-68.925818,30U
1439388271802744,9,51.760608,-1.261254,68.931587,2.096379,1.598250,5.606790,5735843.183151,619997.262821,-68.931587,30U
1439388272002744,9,51.760608,-1.261254,68.948460,2.096343,1.598278,5.606961,5735843.175279,619997.256318,-68.948460,30U
1439388272202744,9,51.760608,-1.261254,68.956377,2.096335,1.598329,5.607097,5735843.181943,619997.258175,-68.956377,30U
1439388272402744,9,51.760608,-1.261254,68.930792,2.096298,1.598380,5.607259,5735843.196441,619997.258068,-68.930792,30U
1439388272602744,8,51.760608,-1.261254,68.953742,2.096245,1.598378,5.607429,5735843.192604,619997.257946,-68.953742,30U
1439388272802744,9,51.760608,-1.261254,68.938147,2.096165,1.598383,5.607569,5735843.188304,619997.257689,-68.938147,30U
1439388273002744,9,51.760608,-1.261254,68.930802,2.096129,1.598412,5.607740,5735843.197472,619997.263713,-68.930802,30U
1439388273202744,9,51.760608,-1.261254,68.915891,2.096096,1.598449,5.607946,5735843.197697,619997.251546,-68.915891,30U
1439388273402744,9,51.760608,-1.261254,68.915036,2.096069,1.598521,5.608129,5735843.195152,619997.234577,-68.915036,30U
1439388273602744,9,51.760608,-1.261254,68.889281,2.096054,1.598526,5.608274,5735843.203987,619997.207800,-68.889281,30U
1439388273802744,9,51.760608,-1.261255,68.903424,2.096057,1.598583,5.608477,5735843.204174,619997.177574,-68.903424,30U
1439388274002744,8,51.760608,-1.261255,68.906672,2.096020,1.598611,5.608648,5735843.198032,619997.139937,-68.906672,30U
1439388274202744,8,51.760608,-1.261256,68.905841,2.095945,1.598570,5.608758,5735843.208742,619997.096890,-68.905841,30U
1439388274402744,8,51.760608,-1.261257,68.914991,2.095941,1.598652,5.608958,5735843.206480,619997.043326,-68.914991,30U
1439388274602744,8,51.760608,-1.261258,68.913852,2.096189,1.598689,5.609127,5735843.214386,619996.970195,-68.913852,30U
1439388274802744,8,51.760608,-1.261259,68.919394,2.096452,1.598859,5.609908,5735843.211428,619996.871897,-68.919394,30U
1439388275002744,8,51.760608,-1.261261,68.902067,2.096416,1.598887,5.610079,5735843.209738,619996.764017,-68.902067,30U
1439388275202744,8,51.760608,-1.261263,68.919402,2.096344,1.598950,5.610107,5735843.222158,619996.633526,-68.919402,30U
1439388275402744,8,51.760609,-1.261265,68.965705,2.096151,1.598928,5.610096,5735843.233104,619996.484539,-68.965705,30U
1439388275602743,8,51.760609,-1.261268,68.944734,2.096256,1.599053,5.610688,5735843.252029,619996.300962,-68.944734,30U
1439388275802743,8,51.760609,-1.261270,68.980450,2.096056,1.598987,5.610633,5735843.261635,619996.101169,-68.980450,30U
1439388276002743,8,51.760609,-1.261274,68.994776,2.096020,1.599016,5.610804,5735843.293924,619995.878314,-68.994776,30U
1439388276202743,8,51.760610,-1.261277,68.979319,2.095772,1.599070,5.610841,5735843.330916,619995.626535,-68.979319,30U
1439388276402743,8,51.760610,-1.261281,68.984029,2.096193,1.599430,5.611357,5735843.387431,619995.366709,-68.984029,30U
1439388276602743,8,51.760611,-1.261285,69.026153,2.096271,1.599515,5.611619,5735843.454150,619995.090593,-69.026153,30U
